Employee ID,Gender,Job Level after FY20 promotions,New hire FY20?,FY20 Performance Rating,Promotion in FY21?,In base group for Promotion FY21,Target hire balance,FY20 leaver?,In base group for turnover FY20,Department @01.07.2020,Leaver FY,Job Level after FY21 promotions,Last Department in FY20,FTE group,Time type,Department & JL group PRA status,Department & JL group for PRA,Job Level group PRA status,Job Level group for PRA,Time in Job Level @01.07.2020,Job Level before FY20 promotions,Promotion in FY20?,FY19 Performance Rating,Age group,Age @01.07.2020,Nationality 1,Region group: nationality 1,Broad region group: nationality 1,Last hire date,Years since last hire,Rand,RAND,GENDER,GRADE,FUNCTION,OC_RATE,PERFORM,Y_GRADE,AGE,Y_SERVIC,Nationality,Rank 2,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,1,2,3,4,5,6,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
1.0,Male,6 - Junior Officer,N,2.0,No,No,0.5,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,3.0,6 - Junior Officer,N,3.0,30 to 39,37.0,Spain,Europe,Europe,2017-04-01,3.0,0.1778039830392368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Female,4 - Manager,N,3.0,No,Yes,0.5,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3.0,4 - Manager,N,,30 to 39,37.0,Germany,Europe,Europe,2017-04-01,3.0,0.5793145639398602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Male,2 - Director,N,2.0,No,Yes,0.5,No,Y,Strategy,,2 - Director,Strategy,Full Time,Full Time,Inconclusive,2 - Director & Strategy,Uneven - Men benefit,2 - Director,3.0,2 - Director,N,3.0,30 to 39,35.0,Switzerland,Switzerland,Switzerland,2015-04-01,5.0,0.8876825358475028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Male,4 - Manager,N,3.0,No,Yes,0.5,No,Y,HR,,4 - Manager,HR,Full Time,Full Time,Inconclusive,4 - Manager & HR,Even,4 - Manager,3.0,4 - Manager,N,3.0,30 to 39,32.0,Germany,Europe,Europe,2012-04-01,8.0,0.0538868163670295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Female,6 - Junior Officer,N,2.0,No,Yes,0.5,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1.0,6 - Junior Officer,N,,20 to 29,28.0,Switzerland,Switzerland,Switzerland,2019-04-01,1.0,0.9716807402818868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Female,4 - Manager,Y,,No,No,0.5,No,N,Internal Services,,4 - Manager,Internal Services,Full Time,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,0.0,,N,,40 to 49,42.0,Italy,Europe,Europe,2020-04-01,0.0,0.7516269574795023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Male,3 - Senior Manager,Y,,No,No,0.5,No,N,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0.0,,N,,30 to 39,35.0,Italy,Europe,Europe,2020-04-01,0.0,0.0394911040478876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Female,5 - Senior Officer,N,2.0,No,Yes,0.5,No,Y,HR,,5 - Senior Officer,HR,Full Time,Full Time,Inconclusive,5 - Senior Officer & HR,Even,5 - Senior Officer,3.0,5 - Senior Officer,N,3.0,30 to 39,34.0,Switzerland,Switzerland,Switzerland,2013-04-01,7.0,0.3584037305872765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Female,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1.0,6 - Junior Officer,N,,20 to 29,26.0,United States,Americas,Elsewhere,2019-04-01,1.0,0.4240613366806871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Male,6 - Junior Officer,N,3.0,No,Yes,0.5,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2.0,6 - Junior Officer,N,3.0,20 to 29,24.0,Switzerland,Switzerland,Switzerland,2018-04-01,2.0,0.3269218958384342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Male,4 - Manager,N,3.0,No,Yes,0.5,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2.0,4 - Manager,N,2.0,30 to 39,34.0,Switzerland,Switzerland,Switzerland,2011-04-01,9.0,0.2333928509318517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
